,Unnamed: 0,vol_id,page_seq,entity,type,lat,lng,amount
1545296,1545345,mdp.39015054061430,129,Naxos,LOCATION,37.8240743,15.2694003,2.0
2416593,2416701,uc1.b3973268,236,Europe,LOCATION,51.0,10.0,4.0
2766467,2766591,nc01.ark:/13960/t3mw3rp2b,68,Iola,LOCATION,37.9244799,-95.3999814,3.0
1283878,1283927,mdp.39015010399841,338,Bosphorus,LOCATION,41.112525899999994,29.07186007493094,1.0
1889409,1889499,mdp.39015008629795,7,NEW JERSEY,LOCATION,40.0757384,-74.4041622,1.0
194858,194860,miun.aat2524.0001.001,51,Idlewild,LOCATION,39.1090624,-120.160119,1.0
676644,676662,mdp.39015038025527,39,Cherry Street,LOCATION,40.7114593,-73.9875074,1.0
568806,568823,mdp.39015046746957,134,U.S.A.,LOCATION,28.41769265,-81.58111071077724,1.0
94665,94666,uc1.b5521446,112,Western Canada,LOCATION,45.9416314,-74.2284004,1.0
16939,16940,mdp.39015000544745,212,Chicago,LOCATION,41.8755616,-87.6244212,11.0
2207985,2208080,uc1.$b401343,150,Dessalines,LOCATION,19.2613129,-72.5170223,1.0
1195297,1195323,nyp.33433076094543,105,New England,LOCATION,44.2057083,-70.75378387447887,3.0
1332118,1332167,uc1.b3711124,210,San Francisco,LOCATION,37.7790262,-122.419906,1.0
1018181,1018206,mdp.39015037423764,23,Phoenix,LOCATION,33.4484367,-112.0741417,1.0
2183243,2183338,hvd.hwqs4m,81,South,LOCATION,36.638392,127.6961188,14.0
2191397,2191492,uc1.b4495386,135,Havana,LOCATION,23.135305,-82.3589631,1.0
830520,830545,mdp.39015018046923,190,Massachusetts,LOCATION,42.3788774,-72.032366,2.0
418291,418300,uva.x004346812,48,Atlanta,LOCATION,33.7489924,-84.3902644,8.0
1984374,1984467,txu.059173005430726,336,Germany,LOCATION,51.0834196,10.4234469,2.0
1443193,1443242,uc1.b4097270,122,Harlem,LOCATION,40.8078786,-73.9454154,13.0
580794,580811,uc1.$b101950,137,Dulcina,LOCATION,-22.9106486,-43.1768298,1.0
90640,90641,emu.010001355021,174,Patesville,LOCATION,37.781999,-86.7188756,1.0
338626,338633,mdp.39015004168491,83,St. Louis,LOCATION,38.6264256,-90.1995853,4.0
134469,134470,mdp.39015053394667,160,Toledo,LOCATION,39.8560679,-4.0239568,1.0
1993227,1993320,txu.059173005430726,613,Southwest,LOCATION,5.0577606,9.2289407,1.0
1681384,1681471,uc1.$b87048,145,Danville,LOCATION,40.125222,-87.6304614,2.0
1390783,1390832,mdp.39015004128289,125,St. Louis,LOCATION,38.6264256,-90.1995853,4.0
132292,132293,mdp.39015053394667,84,New York,LOCATION,40.7127281,-74.0060152,13.0
2368788,2368885,osu.32435017886441,78,South,LOCATION,36.638392,127.6961188,14.0
2768340,2768464,nc01.ark:/13960/t3mw3rp2b,152,Mississippi,LOCATION,32.9715285,-89.7348497,2.0
113470,113471,mdp.39015012057637,55,Houston,LOCATION,29.7589382,-95.3676974,2.0
165680,165681,mdp.39015014891447,307,Place de Gréve,LOCATION,48.85659475,2.351437665442285,1.0
1018059,1018084,mdp.39015028095795,338,la rue Romain,LOCATION,50.3479747,2.8905687,1.0
403637,403645,mdp.39015081383146,70,Nassau,LOCATION,25.0783456,-77.3383331,1.0
2614952,2615067,uc1.32106002158183,416,Houston,LOCATION,29.7589382,-95.3676974,2.0
1363152,1363201,uc1.$b312803,223,Harlem,LOCATION,40.8078786,-73.9454154,13.0
1664934,1665021,uva.x006115119,189,Earth,LOCATION,34.2331373,-102.4107493,1.0
2639737,2639852,mdp.39015002215245,121,Black Belt,LOCATION,53.9575109,27.6152181,1.0
566403,566420,mdp.39015001145047,366,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
2030662,2030755,uc1.$b119911,66,Lotus Gardens,LOCATION,-25.7483451,28.078317214107177,1.0
958110,958135,umn.31951002320734j,350,Richmond,LOCATION,37.5385087,-77.43428,5.0
1304226,1304275,uva.x030788124,233,Massachusetts,LOCATION,42.3788774,-72.032366,2.0
2581757,2581872,mdp.39015002741620,258,Lilita,LOCATION,32.483749,-88.1283561,1.0
299671,299676,osu.32435018054957,24,Bermuda,LOCATION,32.3018217,-64.7603583,2.0
2144262,2144355,mdp.39015059415839,269,Nashville,LOCATION,36.1622767,-86.7742984,1.0
2765545,2765669,nc01.ark:/13960/t3mw3rp2b,33,Africa,LOCATION,11.5024338,17.7578122,7.0
2460591,2460699,mdp.39015013742807,255,Wellington,LOCATION,-41.2887953,174.7772114,2.0
38222,38223,mdp.39015015209623,110,Wiltwyck,LOCATION,51.906699450000005,1.0030993090928888,1.0
2652148,2652263,mdp.39015013331627,104,Manchuria,LOCATION,-9.2079909,-76.1651529,1.0
1286296,1286345,mdp.39015010399841,400,Moscow,LOCATION,55.7504461,37.6174943,1.0
1551867,1551916,loc.ark:/13960/t9r21t21g,50,United States,LOCATION,39.7837304,-100.445882,9.0
1804886,1804975,mdp.39015066059711,124,Pittsburgh,LOCATION,40.4416941,-79.9900861,1.0
930806,930831,uva.x000652535,249,Vicksburg,LOCATION,32.3528055,-90.8777342,1.0
215539,215541,osu.32435055405872,118,New York City,LOCATION,40.7127281,-74.0060152,3.0
539820,539833,uc1.$b323002,108,Beulah,LOCATION,47.26334,-101.777946,1.0
2251796,2251892,uc1.$b63692,268,Hotel Royal,LOCATION,56.1573317,10.2095518,1.0
534736,534748,mdp.39015009022487,207,Quaker City,LOCATION,40.6595372,-75.8788115,1.0
1987082,1987175,txu.059173005430726,414,Hollywood Babylon,LOCATION,45.5374569,-122.6165809,1.0
1139933,1139958,inu.32000003479633,95,Winchester,LOCATION,51.0612766,-1.3131692,1.0
499639,499650,mdp.39015016452453,191,Charleston,LOCATION,32.7876012,-79.9402728,1.0
1723918,1724005,mdp.39015011359729,65,Harlem,LOCATION,40.8078786,-73.9454154,13.0
304082,304087,osu.32435018054957,319,Public Garden,LOCATION,18.00894995,79.560171880827,1.0
984327,984352,uc1.b3711043,7,LONDON,LOCATION,51.5073219,-0.1276474,1.0
255970,255972,mdp.39015019145260,376,Tuscaloosa,LOCATION,33.2095614,-87.5675258,1.0
1612439,1612488,mdp.39015028718305,222,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
2436678,2436786,uc1.b4368522,60,Zurich,LOCATION,47.3744489,8.5410422,1.0
2089610,2089703,mdp.39015014135803,269,El Indio,LOCATION,29.312298,-105.5449247,1.0
1300943,1300992,uva.x030788124,115,Corinth,LOCATION,34.9343599,-88.5223353,1.0
833780,833805,mdp.39015018046923,273,Auburn Avenue,LOCATION,32.5664877,-85.6651796,1.0
2549916,2550031,uc2.ark:/13960/t88g8g708,507,Cincinnati,LOCATION,39.1014537,-84.5124602,2.0
160594,160595,mdp.39015014891447,173,Mars,LOCATION,45.022172,4.3221548,2.0
80282,80283,uc1.32106007393728,231,Boulevard,LOCATION,32.6636712,-116.273629,1.0
2572579,2572694,uc2.ark:/13960/t6k06z120,154,Canada,LOCATION,61.0666922,-107.991707,2.0
851683,851708,mdp.39015014637402,360,Chicago,LOCATION,41.8755616,-87.6244212,11.0
2769904,2770028,nc01.ark:/13960/t3mw3rp2b,218,Iola,LOCATION,37.9244799,-95.3999814,3.0
1229742,1229790,mdp.39015028485905,216,Michigan,LOCATION,43.6211955,-84.6824346,2.0
2560091,2560206,txu.059173025245647,309,Oregon,LOCATION,43.9792797,-120.737257,1.0
2576575,2576690,mdp.39015002741620,36,Asuncion,LOCATION,-25.2800459,-57.6343814,2.0
222886,222888,njp.32101068170834,265,Penn,LOCATION,51.6347857,-0.6655724656040267,1.0
2353270,2353367,uc1.b4095384,121,New York,LOCATION,40.7127281,-74.0060152,13.0
914697,914722,mdp.39015066051023,348,Tongo,LOCATION,-19.9160819,-175.202642,1.0
2235541,2235636,mdp.39015020852250,105,Virginia,LOCATION,37.1232245,-78.4927721,3.0
2096540,2096633,uc1.32106012297450,59,Beaumont,LOCATION,30.0860459,-94.1018461,1.0
2210584,2210679,uc1.$b401343,234,Tenaza,LOCATION,23.0350378,-81.5809383,1.0
287071,287076,uva.x000457192,101,New York,LOCATION,40.7127281,-74.0060152,13.0
1554184,1554233,loc.ark:/13960/t9r21t21g,242,Ohio,LOCATION,40.2253569,-82.6881395,2.0
2388806,2388911,uc2.ark:/13960/t4kk94s0d,22,Canal Street,LOCATION,40.7186195,-74.0007681,1.0
